alpha_deg,beta_deg,ax_m2,ay_m2,az_m2,bx_m3,by_m3,bz_m3
-10.0,-0.0,-0.04825518561350315,0.0,0.043451289982623945,0.0,0.003409130666163776,0.0
-10.0,5.0,-0.05228576321573725,-0.019625982032119293,0.01481407671243732,-0.004906744136922293,0.004394683425003486,0.0002466832485325297
-10.0,10.0,-0.0534690468118734,-0.028733544526640335,0.005546104772769513,-0.0062824850067994455,0.005179679474455539,-0.00014631240046070591
-10.0,15.0,-0.052175762071342995,-0.031926287459625766,0.005037517816358687,-0.005980765865500149,0.004912651828238919,-0.000657176929453512
-10.0,20.0,-0.05453034811395504,-0.03264685344985072,0.0004971214505310316,-0.0048388056872524345,0.005805583854758791,-0.0007579028194386756
-10.0,25.0,-0.05550963739587473,-0.0328475599211626,-0.005853237708498472,-0.004063269269630725,0.006319233378122498,-0.0009691520269778703
-5.0,-25.0,-0.049548885617514166,0.03822159969719223,0.0053441464364000196,0.004922308240861058,0.003670163074778737,0.000686464755870988
-5.0,-20.0,-0.05258887834899485,0.03696430560337971,0.0033138082153887386,0.005359121948826098,0.003966259271945514,0.0005737877322232718
-5.0,-15.0,-0.05182795773283531,0.03593134478103419,0.011482820746992722,0.0062107947922321015,0.003323634589920947,0.0006147816900449429
-5.0,-10.0,-0.05516038222357931,0.03289317851760821,0.013845436977207007,0.006421862440584591,0.003911384481783503,0.00011822040709751759
-5.0,-5.0,-0.049337829193799546,0.02507166304642902,0.02759861647642604,0.005444927912894277,0.0019000712654192106,-0.0002274448087869291
-5.0,-0.0,-0.04886403349222402,0.0,0.05060932576071933,0.0,0.0018734066449249626,0.0
-5.0,5.0,-0.049337829193799546,-0.02507166304642902,0.02759861647642604,-0.005444927912894277,0.0019000712654192106,0.0002274448087869291
-5.0,10.0,-0.05516038222357931,-0.03289317851760821,0.013845436977207007,-0.006421862440584591,0.003911384481783503,-0.00011822040709751759
-5.0,15.0,-0.05182795773283531,-0.03593134478103419,0.011482820746992722,-0.0062107947922321015,0.003323634589920947,-0.0006147816900449429
-5.0,20.0,-0.05258887834899485,-0.03696430560337971,0.0033138082153887386,-0.005359121948826098,0.003966259271945514,-0.0005737877322232718
-5.0,25.0,-0.049548885617514166,-0.03822159969719223,0.0053441464364000196,-0.004922308240861058,0.003670163074778737,-0.000686464755870988
0.0,-45.0,-0.04465621170729785,0.05459881971093015,0.027323108010710688,0.00465586148534191,0.004524367359443286,-0.00014997698792958052
0.0,-40.0,-0.04080823121181936,0.04754611199563957,0.03973158394058008,0.0038645402203137517,0.0024887615864609366,-9.691518521364057e-05
0.0,-35.0,-0.048136837602903264,0.04247390130001891,0.026822259663537355,0.0031734373623523607,0.004020787494579559,-6.690368533175647e-05
0.0,-30.0,-0.04527038495776914,0.04405102380171198,0.02337513607680786,0.004481917267705178,0.002367793031973859,7.229903073291329e-05
0.0,-25.0,-0.046821187243233336,0.04353393729653871,0.015336242731416254,0.005247935130915914,0.0022709063528723317,7.926300108423373e-05
0.0,-20.0,-0.047831843865776734,0.04375532671265745,0.009856429770674446,0.006289578171203324,0.002248206846395405,0.0001271589365492831
0.0,-15.0,-0.04759559215793702,0.037717978404826255,0.0150655445909994,0.005887792937050933,0.0018227199481132591,-1.6359422763444814e-05
0.0,-10.0,-0.04807543431002005,0.03192403549093605,0.01900411586136592,0.005377717998984213,0.001763559330475453,-0.0003410413568392112
0.0,-5.0,-0.047278869202107394,0.024215541395952195,0.035111485885430206,0.004802778981994307,0.0010965844556569348,-0.0005670551632817376
0.0,-0.0,-0.031894352752510076,0.0,0.046052406736307026,0.0,0.0004484248217970491,0.0
0.0,5.0,-0.047278869202107394,-0.024215541395952195,0.035111485885430206,-0.004802778981994307,0.0010965844556569348,0.0005670551632817376
0.0,10.0,-0.04807543431002005,-0.03192403549093605,0.01900411586136592,-0.005377717998984213,0.001763559330475453,0.0003410413568392112
0.0,15.0,-0.04759559215793702,-0.037717978404826255,0.0150655445909994,-0.005887792937050933,0.0018227199481132591,1.6359422763444814e-05
0.0,20.0,-0.047831843865776734,-0.04375532671265745,0.009856429770674446,-0.006289578171203324,0.002248206846395405,-0.0001271589365492831
0.0,25.0,-0.046821187243233336,-0.04353393729653871,0.015336242731416254,-0.005247935130915914,0.0022709063528723317,-7.926300108423373e-05
0.0,30.0,-0.04527038495776914,-0.04405102380171198,0.02337513607680786,-0.004481917267705178,0.002367793031973859,-7.229903073291329e-05
0.0,35.0,-0.048136837602903264,-0.04247390130001891,0.026822259663537355,-0.0031734373623523607,0.004020787494579559,6.690368533175647e-05
0.0,40.0,-0.04080823121181936,-0.04754611199563957,0.03973158394058008,-0.0038645402203137517,0.0024887615864609366,9.691518521364057e-05
0.0,45.0,-0.04465621170729785,-0.05459881971093015,0.027323108010710688,-0.00465586148534191,0.004524367359443286,0.00014997698792958052
